Cod_Prov;Mes;Cantidad de Unidades;Producto
BUE;ene-23;6782;MF001
BUE;feb-23;11080;MF001
BUE;mar-23;17994;MF001
BUE;abr-23;34340;MF001
BUE;may-23;28825;MF001
BUE;jun-23;48054;MF001
BUE;jul-23;86016;MF001
BUE;ago-23;103320;MF001
BUE;sep-23;133479;MF001
BUE;oct-23;120910;MF001
BUE;nov-23;57486;MF001
BUE;dic-23;94788;MF001
CAT;ene-23;666;MF001
CAT;feb-23;1442;MF001
CAT;mar-23;4059;MF001
CAT;abr-23;4756;MF001
CAT;may-23;2545;MF001
CAT;jun-23;3336;MF001
CAT;jul-23;6790;MF001
CAT;ago-23;8736;MF001
CAT;sep-23;5400;MF001
CAT;oct-23;12610;MF001
CAT;nov-23;10241;MF001
CAT;dic-23;6408;MF001
CHA;ene-23;74;MF001
CHA;feb-23;134;MF001
CHA;mar-23;327;MF001
CHA;abr-23;216;MF001
CHA;may-23;335;MF001
CHA;jun-23;894;MF001
CHA;jul-23;938;MF001
CHA;ago-23;1008;MF001
CHA;sep-23;1296;MF001
CHA;oct-23;1490;MF001
CHA;nov-23;836;MF001
CHA;dic-23;1380;MF001
CHU;ene-23;1398;MF001
CHU;feb-23;2642;MF001
CHU;mar-23;3627;MF001
CHU;abr-23;4748;MF001
CHU;may-23;6935;MF001
CHU;jun-23;7812;MF001
CHU;jul-23;10458;MF001
CHU;ago-23;11264;MF001
CHU;sep-23;12051;MF001
CHU;oct-23;11640;MF001
CHU;nov-23;15059;MF001
CHU;dic-23;12672;MF001
COR;ene-23;14025;MF001
COR;feb-23;28930;MF001
COR;mar-23;44187;MF001
COR;abr-23;61292;MF001
COR;may-23;62645;MF001
COR;jun-23;80190;MF001
COR;jul-23;115038;MF001
COR;ago-23;120560;MF001
COR;sep-23;135828;MF001
COR;oct-23;144320;MF001
COR;nov-23;128865;MF001
COR;dic-23;193116;MF001
CRR;ene-23;146;MF001
CRR;feb-23;272;MF001
CRR;mar-23;375;MF001
CRR;abr-23;480;MF001
CRR;may-23;710;MF001
CRR;jun-23;786;MF001
CRR;jul-23;945;MF001
CRR;ago-23;808;MF001
CRR;sep-23;1260;MF001
CRR;oct-23;1400;MF001
CRR;nov-23;1210;MF001
CRR;dic-23;1788;MF001
ERI;ene-23;144;MF001
ERI;feb-23;288;MF001
ERI;mar-23;309;MF001
ERI;abr-23;412;MF001
ERI;may-23;550;MF001
ERI;jun-23;648;MF001
ERI;jul-23;945;MF001
ERI;ago-23;816;MF001
ERI;sep-23;1269;MF001
ERI;oct-23;1330;MF001
ERI;nov-23;1386;MF001
ERI;dic-23;1452;MF001
FOR;ene-23;140;MF001
FOR;feb-23;266;MF001
FOR;mar-23;306;MF001
FOR;abr-23;520;MF001
FOR;may-23;690;MF001
FOR;jun-23;828;MF001
FOR;jul-23;952;MF001
FOR;ago-23;976;MF001
FOR;sep-23;1098;MF001
FOR;oct-23;1420;MF001
FOR;nov-23;1584;MF001
FOR;dic-23;1488;MF001
JUJ;ene-23;127;MF001
JUJ;feb-23;214;MF001
JUJ;mar-23;234;MF001
JUJ;abr-23;600;MF001
JUJ;may-23;200;MF001
JUJ;jun-23;822;MF001
JUJ;jul-23;238;MF001
JUJ;ago-23;1080;MF001
JUJ;sep-23;1305;MF001
JUJ;oct-23;1280;MF001
JUJ;nov-23;1441;MF001
JUJ;dic-23;408;MF001
LPA;ene-23;1195;MF001
LPA;feb-23;2128;MF001
LPA;mar-23;3456;MF001
LPA;abr-23;4212;MF001
LPA;may-23;5015;MF001
LPA;jun-23;6168;MF001
LPA;jul-23;9569;MF001
LPA;ago-23;10848;MF001
LPA;sep-23;11844;MF001
LPA;oct-23;11400;MF001
LPA;nov-23;13860;MF001
LPA;dic-23;16704;MF001
LRI;ene-23;156;MF001
LRI;feb-23;2284;MF001
LRI;mar-23;1698;MF001
LRI;abr-23;1308;MF001
LRI;may-23;2880;MF001
LRI;jun-23;4086;MF001
LRI;jul-23;3850;MF001
LRI;ago-23;4288;MF001
LRI;sep-23;6084;MF001
LRI;oct-23;2060;MF001
LRI;nov-23;8723;MF001
LRI;dic-23;4740;MF001
MEN;ene-23;6420;MF001
MEN;feb-23;24108;MF001
MEN;mar-23;37524;MF001
MEN;abr-23;20568;MF001
MEN;may-23;15625;MF001
MEN;jun-23;50988;MF001
MEN;jul-23;88942;MF001
MEN;ago-23;88544;MF001
MEN;sep-23;107640;MF001
MEN;oct-23;82460;MF001
MEN;nov-23;64680;MF001
MEN;dic-23;141888;MF001
MIS;ene-23;77;MF001
MIS;feb-23;114;MF001
MIS;mar-23;396;MF001
MIS;abr-23;276;MF001
MIS;may-23;425;MF001
MIS;jun-23;606;MF001
MIS;jul-23;231;MF001
MIS;ago-23;576;MF001
MIS;sep-23;738;MF001
MIS;oct-23;930;MF001
MIS;nov-23;484;MF001
MIS;dic-23;1440;MF001
NEU;ene-23;1343;MF001
NEU;feb-23;2180;MF001
NEU;mar-23;3429;MF001
NEU;abr-23;5864;MF001
NEU;may-23;6300;MF001
NEU;jun-23;6090;MF001
NEU;jul-23;9002;MF001
NEU;ago-23;11288;MF001
NEU;sep-23;10773;MF001
NEU;oct-23;10120;MF001
NEU;nov-23;15895;MF001
NEU;dic-23;16056;MF001
RNE;ene-23;1187;MF001
RNE;feb-23;2998;MF001
RNE;mar-23;3369;MF001
RNE;abr-23;4592;MF001
RNE;may-23;5260;MF001
RNE;jun-23;6186;MF001
RNE;jul-23;8638;MF001
RNE;ago-23;11368;MF001
RNE;sep-23;12321;MF001
RNE;oct-23;12220;MF001
RNE;nov-23;15356;MF001
RNE;dic-23;16776;MF001
SAL;ene-23;137;MF001
SAL;feb-23;280;MF001
SAL;mar-23;360;MF001
SAL;abr-23;500;MF001
SAL;may-23;550;MF001
SAL;jun-23;312;MF001
SAL;jul-23;574;MF001
SAL;ago-23;480;MF001
SAL;sep-23;1188;MF001
SAL;oct-23;1030;MF001
SAL;nov-23;187;MF001
SAL;dic-23;324;MF001
SJA;ene-23;1448;MF001
SJA;feb-23;2334;MF001
SJA;mar-23;3210;MF001
SJA;abr-23;5504;MF001
SJA;may-23;5480;MF001
SJA;jun-23;7482;MF001
SJA;jul-23;10136;MF001
SJA;ago-23;8976;MF001
SJA;sep-23;10575;MF001
SJA;oct-23;13650;MF001
SJA;nov-23;14795;MF001
SJA;dic-23;17160;MF001
SLU;ene-23;1128;MF001
SLU;feb-23;2184;MF001
SLU;mar-23;3702;MF001
SLU;abr-23;5432;MF001
SLU;may-23;5475;MF001
SLU;jun-23;8250;MF001
SLU;jul-23;9765;MF001
SLU;ago-23;9312;MF001
SLU;sep-23;11970;MF001
SLU;oct-23;11140;MF001
SLU;nov-23;11220;MF001
SLU;dic-23;12360;MF001
SCR;ene-23;694;MF001
SCR;feb-23;1470;MF001
SCR;mar-23;2019;MF001
SCR;abr-23;2356;MF001
SCR;may-23;2980;MF001
SCR;jun-23;4242;MF001
SCR;jul-23;3626;MF001
SCR;ago-23;4912;MF001
SCR;sep-23;6606;MF001
SCR;oct-23;6990;MF001
SCR;nov-23;7238;MF001
SCR;dic-23;7728;MF001
SFE;ene-23;605;MF001
SFE;feb-23;1090;MF001
SFE;mar-23;2148;MF001
SFE;abr-23;2896;MF001
SFE;may-23;2660;MF001
SFE;jun-23;3672;MF001
SFE;jul-23;4466;MF001
SFE;ago-23;4120;MF001
SFE;sep-23;5355;MF001
SFE;oct-23;5220;MF001
SFE;nov-23;6424;MF001
SFE;dic-23;8916;MF001
SDE;ene-23;64;MF001
SDE;feb-23;234;MF001
SDE;mar-23;120;MF001
SDE;abr-23;192;MF001
SDE;may-23;95;MF001
SDE;jun-23;474;MF001
SDE;jul-23;812;MF001
SDE;ago-23;928;MF001
SDE;sep-23;1161;MF001
SDE;oct-23;1100;MF001
SDE;nov-23;187;MF001
SDE;dic-23;300;MF001
TDF;ene-23;698;MF001
TDF;feb-23;1008;MF001
TDF;mar-23;1596;MF001
TDF;abr-23;2092;MF001
TDF;may-23;3405;MF001
TDF;jun-23;3522;MF001
TDF;jul-23;4683;MF001
TDF;ago-23;5008;MF001
TDF;sep-23;6579;MF001
TDF;oct-23;6840;MF001
TDF;nov-23;7722;MF001
TDF;dic-23;6840;MF001
TUC;ene-23;95;MF001
TUC;feb-23;66;MF001
TUC;mar-23;111;MF001
TUC;abr-23;212;MF001
TUC;may-23;745;MF001
TUC;jun-23;810;MF001
TUC;jul-23;84;MF001
TUC;ago-23;1200;MF001
TUC;sep-23;441;MF001
TUC;oct-23;1350;MF001
TUC;nov-23;836;MF001
TUC;dic-23;828;MF001
BUE;ene-23;11512;MN002
BUE;feb-23;14364;MN002
BUE;mar-23;31734;MN002
BUE;abr-23;32364;MN002
BUE;may-23;50155;MN002
BUE;jun-23;31020;MN002
BUE;jul-23;72884;MN002
BUE;ago-23;100168;MN002
BUE;sep-23;112410;MN002
BUE;oct-23;100680;MN002
BUE;nov-23;151987;MN002
BUE;dic-23;96648;MN002
CAT;ene-23;1053;MN002
CAT;feb-23;2274;MN002
CAT;mar-23;4464;MN002
CAT;abr-23;5856;MN002
CAT;may-23;6430;MN002
CAT;jun-23;5034;MN002
CAT;jul-23;6720;MN002
CAT;ago-23;7168;MN002
CAT;sep-23;10368;MN002
CAT;oct-23;7140;MN002
CAT;nov-23;7601;MN002
CAT;dic-23;14256;MN002
CHA;ene-23;109;MN002
CHA;feb-23;122;MN002
CHA;mar-23;342;MN002
CHA;abr-23;404;MN002
CHA;may-23;530;MN002
CHA;jun-23;594;MN002
CHA;jul-23;980;MN002
CHA;ago-23;1112;MN002
CHA;sep-23;1269;MN002
CHA;oct-23;1430;MN002
CHA;nov-23;957;MN002
CHA;dic-23;1116;MN002
CHU;ene-23;1453;MN002
CHU;feb-23;2522;MN002
CHU;mar-23;3174;MN002
CHU;abr-23;4356;MN002
CHU;may-23;6700;MN002
CHU;jun-23;6300;MN002
CHU;jul-23;7924;MN002
CHU;ago-23;10776;MN002
CHU;sep-23;10143;MN002
CHU;oct-23;14330;MN002
CHU;nov-23;13728;MN002
CHU;dic-23;14508;MN002
COR;ene-23;11979;MN002
COR;feb-23;29898;MN002
COR;mar-23;38775;MN002
COR;abr-23;64680;MN002
COR;may-23;69245;MN002
COR;jun-23;80982;MN002
COR;jul-23;82313;MN002
COR;ago-23;107008;MN002
COR;sep-23;125730;MN002
COR;oct-23;137170;MN002
COR;nov-23;155848;MN002
COR;dic-23;141372;MN002
CRR;ene-23;122;MN002
CRR;feb-23;248;MN002
CRR;mar-23;303;MN002
CRR;abr-23;596;MN002
CRR;may-23;630;MN002
CRR;jun-23;870;MN002
CRR;jul-23;777;MN002
CRR;ago-23;1128;MN002
CRR;sep-23;1044;MN002
CRR;oct-23;1360;MN002
CRR;nov-23;1562;MN002
CRR;dic-23;1224;MN002
ERI;ene-23;135;MN002
ERI;feb-23;266;MN002
ERI;mar-23;306;MN002
ERI;abr-23;492;MN002
ERI;may-23;690;MN002
ERI;jun-23;774;MN002
ERI;jul-23;847;MN002
ERI;ago-23;904;MN002
ERI;sep-23;936;MN002
ERI;oct-23;1320;MN002
ERI;nov-23;1474;MN002
ERI;dic-23;1620;MN002
FOR;ene-23;133;MN002
FOR;feb-23;272;MN002
FOR;mar-23;429;MN002
FOR;abr-23;436;MN002
FOR;may-23;525;MN002
FOR;jun-23;636;MN002
FOR;jul-23;896;MN002
FOR;ago-23;1064;MN002
FOR;sep-23;1323;MN002
FOR;oct-23;1460;MN002
FOR;nov-23;1540;MN002
FOR;dic-23;1464;MN002
JUJ;ene-23;23;MN002
JUJ;feb-23;98;MN002
JUJ;mar-23;327;MN002
JUJ;abr-23;84;MN002
JUJ;may-23;630;MN002
JUJ;jun-23;894;MN002
JUJ;jul-23;714;MN002
JUJ;ago-23;96;MN002
JUJ;sep-23;693;MN002
JUJ;oct-23;190;MN002
JUJ;nov-23;1342;MN002
JUJ;dic-23;1104;MN002
LPA;ene-23;1412;MN002
LPA;feb-23;2978;MN002
LPA;mar-23;4242;MN002
LPA;abr-23;4376;MN002
LPA;may-23;5485;MN002
LPA;jun-23;6024;MN002
LPA;jul-23;7945;MN002
LPA;ago-23;9472;MN002
LPA;sep-23;9972;MN002
LPA;oct-23;10690;MN002
LPA;nov-23;15818;MN002
LPA;dic-23;14748;MN002
LRI;ene-23;1440;MN002
LRI;feb-23;2014;MN002
LRI;mar-23;2787;MN002
LRI;abr-23;1736;MN002
LRI;may-23;6550;MN002
LRI;jun-23;5202;MN002
LRI;jul-23;3374;MN002
LRI;ago-23;7360;MN002
LRI;sep-23;3429;MN002
LRI;oct-23;9740;MN002
LRI;nov-23;14157;MN002
LRI;dic-23;8820;MN002
MEN;ene-23;5394;MN002
MEN;feb-23;7384;MN002
MEN;mar-23;30645;MN002
MEN;abr-23;21612;MN002
MEN;may-23;27775;MN002
MEN;jun-23;71808;MN002
MEN;jul-23;17843;MN002
MEN;ago-23;92824;MN002
MEN;sep-23;131094;MN002
MEN;oct-23;33690;MN002
MEN;nov-23;129800;MN002
MEN;dic-23;95604;MN002
MIS;ene-23;28;MN002
MIS;feb-23;24;MN002
MIS;mar-23;30;MN002
MIS;abr-23;268;MN002
MIS;may-23;80;MN002
MIS;jun-23;648;MN002
MIS;jul-23;987;MN002
MIS;ago-23;504;MN002
MIS;sep-23;162;MN002
MIS;oct-23;1270;MN002
MIS;nov-23;198;MN002
MIS;dic-23;1560;MN002
NEU;ene-23;1493;MN002
NEU;feb-23;2172;MN002
NEU;mar-23;3342;MN002
NEU;abr-23;4832;MN002
NEU;may-23;5320;MN002
NEU;jun-23;6990;MN002
NEU;jul-23;7882;MN002
NEU;ago-23;10824;MN002
NEU;sep-23;11889;MN002
NEU;oct-23;10330;MN002
NEU;nov-23;13123;MN002
NEU;dic-23;14208;MN002
RNE;ene-23;1478;MN002
RNE;feb-23;2364;MN002
RNE;mar-23;3870;MN002
RNE;abr-23;5264;MN002
RNE;may-23;5760;MN002
RNE;jun-23;7524;MN002
RNE;jul-23;9450;MN002
RNE;ago-23;8680;MN002
RNE;sep-23;9081;MN002
RNE;oct-23;13890;MN002
RNE;nov-23;13772;MN002
RNE;dic-23;12504;MN002
SAL;ene-23;83;MN002
SAL;feb-23;196;MN002
SAL;mar-23;57;MN002
SAL;abr-23;304;MN002
SAL;may-23;210;MN002
SAL;jun-23;780;MN002
SAL;jul-23;252;MN002
SAL;ago-23;1024;MN002
SAL;sep-23;396;MN002
SAL;oct-23;1500;MN002
SAL;nov-23;682;MN002
SAL;dic-23;480;MN002
SJA;ene-23;1094;MN002
SJA;feb-23;2156;MN002
SJA;mar-23;3423;MN002
SJA;abr-23;4652;MN002
SJA;may-23;6995;MN002
SJA;jun-23;7632;MN002
SJA;jul-23;9751;MN002
SJA;ago-23;9384;MN002
SJA;sep-23;9603;MN002
SJA;oct-23;12070;MN002
SJA;nov-23;15433;MN002
SJA;dic-23;12708;MN002
SLU;ene-23;1271;MN002
SLU;feb-23;2950;MN002
SLU;mar-23;4011;MN002
SLU;abr-23;4380;MN002
SLU;may-23;5515;MN002
SLU;jun-23;8892;MN002
SLU;jul-23;8988;MN002
SLU;ago-23;11256;MN002
SLU;sep-23;11727;MN002
SLU;oct-23;11760;MN002
SLU;nov-23;13816;MN002
SLU;dic-23;16188;MN002
SCR;ene-23;662;MN002
SCR;feb-23;1282;MN002
SCR;mar-23;1626;MN002
SCR;abr-23;2960;MN002
SCR;may-23;2595;MN002
SCR;jun-23;3402;MN002
SCR;jul-23;4711;MN002
SCR;ago-23;5544;MN002
SCR;sep-23;4788;MN002
SCR;oct-23;5730;MN002
SCR;nov-23;7579;MN002
SCR;dic-23;8304;MN002
SFE;ene-23;605;MN002
SFE;feb-23;1024;MN002
SFE;mar-23;1896;MN002
SFE;abr-23;2048;MN002
SFE;may-23;3170;MN002
SFE;jun-23;4224;MN002
SFE;jul-23;4767;MN002
SFE;ago-23;4448;MN002
SFE;sep-23;6309;MN002
SFE;oct-23;5850;MN002
SFE;nov-23;6446;MN002
SFE;dic-23;8544;MN002
SDE;ene-23;46;MN002
SDE;feb-23;150;MN002
SDE;mar-23;192;MN002
SDE;abr-23;344;MN002
SDE;may-23;165;MN002
SDE;jun-23;186;MN002
SDE;jul-23;168;MN002
SDE;ago-23;440;MN002
SDE;sep-23;216;MN002
SDE;oct-23;1310;MN002
SDE;nov-23;726;MN002
SDE;dic-23;1740;MN002
TDF;ene-23;554;MN002
TDF;feb-23;1376;MN002
TDF;mar-23;2181;MN002
TDF;abr-23;2852;MN002
TDF;may-23;2710;MN002
TDF;jun-23;3252;MN002
TDF;jul-23;4802;MN002
TDF;ago-23;5448;MN002
TDF;sep-23;5553;MN002
TDF;oct-23;5260;MN002
TDF;nov-23;6281;MN002
TDF;dic-23;7764;MN002
TUC;ene-23;45;MN002
TUC;feb-23;38;MN002
TUC;mar-23;423;MN002
TUC;abr-23;380;MN002
TUC;may-23;720;MN002
TUC;jun-23;534;MN002
TUC;jul-23;630;MN002
TUC;ago-23;520;MN002
TUC;sep-23;675;MN002
TUC;oct-23;130;MN002
TUC;nov-23;1650;MN002
TUC;dic-23;948;MN002
BUE;ene-23;6990;MD005
BUE;feb-23;17446;MD005
BUE;mar-23;23460;MD005
BUE;abr-23;43724;MD005
BUE;may-23;28710;MD005
BUE;jun-23;61122;MD005
BUE;jul-23;84889;MD005
BUE;ago-23;92832;MD005
BUE;sep-23;124317;MD005
BUE;oct-23;128400;MD005
BUE;nov-23;63701;MD005
BUE;dic-23;67560;MD005
CAT;ene-23;1161;MD005
CAT;feb-23;1202;MD005
CAT;mar-23;3159;MD005
CAT;abr-23;4076;MD005
CAT;may-23;3240;MD005
CAT;jun-23;5436;MD005
CAT;jul-23;9303;MD005
CAT;ago-23;10728;MD005
CAT;sep-23;12681;MD005
CAT;oct-23;8860;MD005
CAT;nov-23;15147;MD005
CAT;dic-23;12732;MD005
CHA;ene-23;122;MD005
CHA;feb-23;142;MD005
CHA;mar-23;288;MD005
CHA;abr-23;280;MD005
CHA;may-23;280;MD005
CHA;jun-23;654;MD005
CHA;jul-23;371;MD005
CHA;ago-23;632;MD005
CHA;sep-23;720;MD005
CHA;oct-23;1450;MD005
CHA;nov-23;1045;MD005
CHA;dic-23;1224;MD005
CHU;ene-23;1185;MD005
CHU;feb-23;2938;MD005
CHU;mar-23;4002;MD005
CHU;abr-23;5548;MD005
CHU;may-23;5840;MD005
CHU;jun-23;8880;MD005
CHU;jul-23;9625;MD005
CHU;ago-23;11176;MD005
CHU;sep-23;11070;MD005
CHU;oct-23;10320;MD005
CHU;nov-23;16500;MD005
CHU;dic-23;13248;MD005
COR;ene-23;12386;MD005
COR;feb-23;30272;MD005
COR;mar-23;35640;MD005
COR;abr-23;63888;MD005
COR;may-23;70345;MD005
COR;jun-23;79200;MD005
COR;jul-23;106645;MD005
COR;ago-23;102608;MD005
COR;sep-23;135828;MD005
COR;oct-23;132550;MD005
COR;nov-23;178233;MD005
COR;dic-23;181500;MD005
CRR;ene-23;106;MD005
CRR;feb-23;288;MD005
CRR;mar-23;321;MD005
CRR;abr-23;520;MD005
CRR;may-23;690;MD005
CRR;jun-23;612;MD005
CRR;jul-23;826;MD005
CRR;ago-23;984;MD005
CRR;sep-23;918;MD005
CRR;oct-23;1160;MD005
CRR;nov-23;1463;MD005
CRR;dic-23;1284;MD005
ERI;ene-23;122;MD005
ERI;feb-23;268;MD005
ERI;mar-23;375;MD005
ERI;abr-23;408;MD005
ERI;may-23;685;MD005
ERI;jun-23;750;MD005
ERI;jul-23;896;MD005
ERI;ago-23;1152;MD005
ERI;sep-23;1215;MD005
ERI;oct-23;1420;MD005
ERI;nov-23;1496;MD005
ERI;dic-23;1596;MD005
FOR;ene-23;124;MD005
FOR;feb-23;250;MD005
FOR;mar-23;342;MD005
FOR;abr-23;556;MD005
FOR;may-23;565;MD005
FOR;jun-23;876;MD005
FOR;jul-23;994;MD005
FOR;ago-23;928;MD005
FOR;sep-23;1143;MD005
FOR;oct-23;1450;MD005
FOR;nov-23;1408;MD005
FOR;dic-23;1440;MD005
JUJ;ene-23;48;MD005
JUJ;feb-23;144;MD005
JUJ;mar-23;237;MD005
JUJ;abr-23;240;MD005
JUJ;may-23;225;MD005
JUJ;jun-23;744;MD005
JUJ;jul-23;343;MD005
JUJ;ago-23;576;MD005
JUJ;sep-23;1179;MD005
JUJ;oct-23;140;MD005
JUJ;nov-23;990;MD005
JUJ;dic-23;1356;MD005
LPA;ene-23;1051;MD005
LPA;feb-23;2702;MD005
LPA;mar-23;3696;MD005
LPA;abr-23;4488;MD005
LPA;may-23;6565;MD005
LPA;jun-23;8664;MD005
LPA;jul-23;7679;MD005
LPA;ago-23;10448;MD005
LPA;sep-23;11538;MD005
LPA;oct-23;13270;MD005
LPA;nov-23;14234;MD005
LPA;dic-23;15888;MD005
LRI;ene-23;1386;MD005
LRI;feb-23;1414;MD005
LRI;mar-23;2721;MD005
LRI;abr-23;3220;MD005
LRI;may-23;5355;MD005
LRI;jun-23;4536;MD005
LRI;jul-23;10402;MD005
LRI;ago-23;11848;MD005
LRI;sep-23;8217;MD005
LRI;oct-23;14830;MD005
LRI;nov-23;1991;MD005
LRI;dic-23;9144;MD005
MEN;ene-23;14626;MD005
MEN;feb-23;10724;MD005
MEN;mar-23;16503;MD005
MEN;abr-23;52552;MD005
MEN;may-23;42000;MD005
MEN;jun-23;11898;MD005
MEN;jul-23;67641;MD005
MEN;ago-23;79440;MD005
MEN;sep-23;69165;MD005
MEN;oct-23;45950;MD005
MEN;nov-23;141064;MD005
MEN;dic-23;104316;MD005
MIS;ene-23;138;MD005
MIS;feb-23;192;MD005
MIS;mar-23;285;MD005
MIS;abr-23;308;MD005
MIS;may-23;285;MD005
MIS;jun-23;60;MD005
MIS;jul-23;903;MD005
MIS;ago-23;888;MD005
MIS;sep-23;1215;MD005
MIS;oct-23;430;MD005
MIS;nov-23;1331;MD005
MIS;dic-23;996;MD005
NEU;ene-23;1186;MD005
NEU;feb-23;2524;MD005
NEU;mar-23;4017;MD005
NEU;abr-23;5272;MD005
NEU;may-23;5190;MD005
NEU;jun-23;8286;MD005
NEU;jul-23;9737;MD005
NEU;ago-23;9664;MD005
NEU;sep-23;11385;MD005
NEU;oct-23;11000;MD005
NEU;nov-23;16038;MD005
NEU;dic-23;15552;MD005
RNE;ene-23;1383;MD005
RNE;feb-23;2178;MD005
RNE;mar-23;3993;MD005
RNE;abr-23;5752;MD005
RNE;may-23;5660;MD005
RNE;jun-23;8628;MD005
RNE;jul-23;8792;MD005
RNE;ago-23;11616;MD005
RNE;sep-23;9072;MD005
RNE;oct-23;10940;MD005
RNE;nov-23;15972;MD005
RNE;dic-23;16860;MD005
SAL;ene-23;109;MD005
SAL;feb-23;34;MD005
SAL;mar-23;126;MD005
SAL;abr-23;580;MD005
SAL;may-23;245;MD005
SAL;jun-23;732;MD005
SAL;jul-23;560;MD005
SAL;ago-23;488;MD005
SAL;sep-23;1053;MD005
SAL;oct-23;1250;MD005
SAL;nov-23;1617;MD005
SAL;dic-23;1788;MD005
SJA;ene-23;1048;MD005
SJA;feb-23;2574;MD005
SJA;mar-23;3942;MD005
SJA;abr-23;4188;MD005
SJA;may-23;5490;MD005
SJA;jun-23;7962;MD005
SJA;jul-23;7154;MD005
SJA;ago-23;11528;MD005
SJA;sep-23;10377;MD005
SJA;oct-23;11620;MD005
SJA;nov-23;13805;MD005
SJA;dic-23;16800;MD005
SLU;ene-23;1215;MD005
SLU;feb-23;2932;MD005
SLU;mar-23;3087;MD005
SLU;abr-23;4172;MD005
SLU;may-23;6230;MD005
SLU;jun-23;7320;MD005
SLU;jul-23;10388;MD005
SLU;ago-23;11392;MD005
SLU;sep-23;12204;MD005
SLU;oct-23;11310;MD005
SLU;nov-23;14564;MD005
SLU;dic-23;14604;MD005
SCR;ene-23;735;MD005
SCR;feb-23;1456;MD005
SCR;mar-23;1515;MD005
SCR;abr-23;2520;MD005
SCR;may-23;3120;MD005
SCR;jun-23;3936;MD005
SCR;jul-23;5243;MD005
SCR;ago-23;4336;MD005
SCR;sep-23;5490;MD005
SCR;oct-23;6950;MD005
SCR;nov-23;6050;MD005
SCR;dic-23;8772;MD005
SFE;ene-23;729;MD005
SFE;feb-23;1160;MD005
SFE;mar-23;2061;MD005
SFE;abr-23;2664;MD005
SFE;may-23;3610;MD005
SFE;jun-23;4308;MD005
SFE;jul-23;4550;MD005
SFE;ago-23;4888;MD005
SFE;sep-23;5751;MD005
SFE;oct-23;5350;MD005
SFE;nov-23;7293;MD005
SFE;dic-23;6300;MD005
SDE;ene-23;27;MD005
SDE;feb-23;86;MD005
SDE;mar-23;237;MD005
SDE;abr-23;512;MD005
SDE;may-23;150;MD005
SDE;jun-23;690;MD005
SDE;jul-23;910;MD005
SDE;ago-23;1080;MD005
SDE;sep-23;486;MD005
SDE;oct-23;410;MD005
SDE;nov-23;1474;MD005
SDE;dic-23;720;MD005
TDF;ene-23;563;MD005
TDF;feb-23;1306;MD005
TDF;mar-23;1539;MD005
TDF;abr-23;2252;MD005
TDF;may-23;3660;MD005
TDF;jun-23;4230;MD005
TDF;jul-23;4774;MD005
TDF;ago-23;4848;MD005
TDF;sep-23;5598;MD005
TDF;oct-23;5950;MD005
TDF;nov-23;5841;MD005
TDF;dic-23;6660;MD005
TUC;ene-23;23;MD005
TUC;feb-23;204;MD005
TUC;mar-23;405;MD005
TUC;abr-23;288;MD005
TUC;may-23;195;MD005
TUC;jun-23;462;MD005
TUC;jul-23;840;MD005
TUC;ago-23;848;MD005
TUC;sep-23;423;MD005
TUC;oct-23;1250;MD005
